time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010443399637	8.46292	0.243462	-3.04035	0	0	radar	0	8.46292	0.243462	8.6	0.25	-3.00029	0
1477010443449633	8.44713	0.251376	-3.03801	-1.05563	-0.000149351	lidar	0.00233109	8.44818	0.251553	8.45	0.25	-3.00027	0
1477010443499690	8.44713	0.251376	-3.03801	-1.05563	-0.000149351	radar	0	8.56759	0.241943	8.45	0.25	0	0
1477010443549747	8.44331	0.269652	-2.94932	-1.07594	-0.0122446	lidar	0.0994832	8.45582	0.253997	8.45	0.25	0	0
1477010443604698	8.44331	0.269652	-2.94932	-1.07594	-0.0122446	radar	0	8.42544	0.254042	8.35	0.25	-1.81979	0
1477010443659650	8.27214	0.26954	-2.93149	-0.521553	0.332217	lidar	0.324585	8.23962	0.24916	8.25	0.25	-1.81978	0
1477010443709653	8.27214	0.26954	-2.93149	-0.521553	0.332217	radar	0	7.93286	0.188391	8.05	0.2	-3.99976	-0.99994
1477010443759657	7.91367	0.182034	-3.13715	0.358301	0.843522	lidar	1.19684	7.84073	0.159858	7.85	0.15	-3.99972	-0.99993
1477010443809660	7.91367	0.182034	-3.13715	0.358301	0.843522	radar	0	7.61269	0.155818	7.7	0.15	-2.99982	0
1477010443859663	7.6167	0.152242	-3.42224	0.24179	0.622311	lidar	0.625205	7.54016	0.159641	7.55	0.15	-2.99982	0
1477010443914714	7.6167	0.152242	-3.42224	0.24179	0.622311	radar	0	7.50815	0.0953827	7.45	0.100001	-1.8165	-0.908239
1477010443969766	7.3329	0.0390573	-3.38869	0.365293	0.705174	lidar	0.0174767	7.3426	0.0345312	7.35	0.0500011	-1.81648	-0.90823
1477010444024741	7.3329	0.0390573	-3.38869	0.365293	0.705174	radar	0	7.20598	0.00492725	7.2	9.49949e-07	-2.72851	-0.909507
1477010444079717	7.03836	-0.0664652	-3.31577	0.403589	0.627056	lidar	0.0449355	7.05406	-0.0533413	7.05	-0.0499992	-2.72849	-0.909499
1477010444134693	7.03836	-0.0664652	-3.31577	0.403589	0.627056	radar	0	6.74585	-0.143185	6.95	-0.15	-1.81898	-1.81898
1477010444189670	6.80175	-0.252811	-3.20219	0.584964	0.91924	lidar	0.254914	6.84972	-0.258748	6.85	-0.25	-1.81896	-1.81897
1477010444239651	6.80175	-0.252811	-3.20219	0.584964	0.91924	radar	0	6.66966	-0.346668	6.75	-0.349999	-2.00076	-2.00075
1477010444289632	6.60774	-0.458241	-3.14462	0.760046	1.12875	lidar	0.134512	6.64329	-0.462604	6.65	-0.449999	-2.00076	-2.00075
1477010444339690	6.60774	-0.458241	-3.14462	0.760046	1.12875	radar	0	6.60862	-0.557035	6.6	-0.549999	-0.998836	-1.99769
1477010444389748	6.48303	-0.679938	-3.01893	0.958455	1.33629	lidar	0.560976	6.56029	-0.650892	6.55	-0.65	-0.99884	-1.99769
1477010444444769	6.48303	-0.679938	-3.01893	0.958455	1.33629	radar	0	6.40696	-0.842921	6.5	-0.85	-0.908747	-3.63498
1477010444499791	6.40904	-1.02012	-3.01433	1.27636	1.67559	lidar	0.442809	6.45805	-1.05268	6.45	-1.05	-0.908739	-3.63494
1477010444554767	6.40904	-1.02012	-3.01433	1.27636	1.67559	radar	0	6.38626	-1.15695	6.35	-1.15	-1.81897	-1.81898
1477010444609744	6.2856	-1.28862	-2.98629	1.35434	1.49119	lidar	0.26555	6.25499	-1.25007	6.25	-1.25	-1.81896	-1.81896
1477010444664705	6.2856	-1.28862	-2.98629	1.35434	1.49119	radar	0	6.43125	-1.48148	6.3	-1.45	0.909739	-3.63894
1477010444719667	6.31585	-1.63375	-3.00116	1.6185	1.64941	lidar	0.303956	6.36328	-1.65656	6.35	-1.65	0.909727	-3.63891
1477010444769692	6.31585	-1.63375	-3.00116	1.6185	1.64941	radar	0	6.3228	-1.81431	6.3	-1.8	-0.999494	-2.9985
1477010444819718	6.29741	-1.92966	-3.02169	1.71776	1.55128	lidar	0.270029	6.24641	-1.95075	6.25	-1.95	-0.999489	-2.99847
1477010444869719	6.29741	-1.92966	-3.02169	1.71776	1.55128	radar	0	6.31851	-2.10969	6.3	-2.1	0.999984	-2.99994
1477010444919720	6.35536	-2.22515	-3.03241	1.86364	1.53802	lidar	0.0182248	6.34644	-2.23829	6.35	-2.25	0.999979	-2.99994
1477010444974743	6.35536	-2.22515	-3.03241	1.86364	1.53802	radar	0	6.32593	-2.40018	6.35	-2.4	0	-2.72613
1477010445029767	6.41275	-2.53926	-3.02658	1.96655	1.4539	lidar	0.372972	6.34927	-2.55175	6.35	-2.55	0	-2.72611
1477010445084742	6.41275	-2.53926	-3.02658	1.96655	1.4539	radar	0	6.43125	-2.71878	6.4	-2.7	0.909499	-2.72851
1477010445139717	6.50052	-2.83888	-3.00522	2.06603	1.38223	lidar	0.398584	6.43257	-2.84245	6.45	-2.85	0.909503	-2.72851
1477010445189758	6.50052	-2.83888	-3.00522	2.06603	1.38223	radar	0	6.46536	-3.00452	6.45	-3	0	-2.99754
1477010445239799	6.56099	-3.11728	-2.98174	2.11247	1.27685	lidar	1.25146	6.44119	-3.14955	6.45	-3.15	0	-2.99754
1477010445294720	6.56099	-3.11728	-2.98174	2.11247	1.27685	radar	0	6.52249	-3.32007	6.5	-3.3	0.910402	-2.7312
1477010445349641	6.65826	-3.41561	-2.96116	2.17187	1.18676	lidar	1.15553	6.5453	-3.45745	6.55	-3.45	0.910402	-2.7312
1477010445404670	6.65826	-3.41561	-2.96116	2.17187	1.18676	radar	0	6.6358	-3.59197	6.65	-3.6	1.81722	-2.72583
1477010445459700	6.81462	-3.70242	-2.97228	2.25867	1.13837	lidar	0.434828	6.76011	-3.75457	6.75	-3.75	1.81721	-2.72581
1477010445514767	6.81462	-3.70242	-2.97228	2.25867	1.13837	radar	0	6.83625	-3.92723	6.8	-3.9	0.907988	-2.72396
1477010445569835	6.96176	-3.98764	-2.96628	2.31394	1.06179	lidar	1.1681	6.85997	-4.05805	6.85	-4.05	0.907976	-2.72393
1477010445624820	6.96176	-3.98764	-2.96628	2.31394	1.06179	radar	0	6.86943	-4.18507	6.9	-4.2	0.909334	-2.72801
1477010445679806	7.09289	-4.26846	-2.93014	2.34138	0.964431	lidar	2.11812	6.94332	-4.34473	6.95	-4.35	0.90933	-2.72799
1477010445734748	7.09289	-4.26846	-2.93014	2.34138	0.964431	radar	0	7.05156	-4.49706	7	-4.45	0.910054	-1.8201
1477010445789690	7.21761	-4.51856	-2.8419	2.36581	0.875707	lidar	2.34181	7.04099	-4.55018	7.05	-4.55	0.910054	-1.8201
1477010445844738	7.21761	-4.51856	-2.8419	2.36581	0.875707	radar	0	7.10252	-4.67934	7.1	-4.7	0.908302	-2.72489
1477010445899786	7.33421	-4.78298	-2.77251	2.3662	0.769963	lidar	2.98635	7.14735	-4.86125	7.15	-4.85	0.908297	-2.72489
1477010445954759	7.33421	-4.78298	-2.77251	2.3662	0.769963	radar	0	7.3138	-5.05204	7.25	-5	1.81907	-2.72861
1477010446009732	7.46216	-5.0525	-2.73317	2.36028	0.669377	lidar	2.5514	7.30424	-5.15404	7.35	-5.15	1.81907	-2.72861
1477010446064786	7.46216	-5.0525	-2.73317	2.36028	0.669377	radar	0	7.29446	-5.23429	7.4	-5.3	0.908194	-2.7246
1477010446119841	7.59268	-5.33134	-2.71298	2.34169	0.566417	lidar	2.58794	7.44737	-5.45308	7.45	-5.45	0.90819	-2.72457
1477010446174794	7.59268	-5.33134	-2.71298	2.34169	0.566417	radar	0	7.63082	-5.61863	7.55	-5.55	1.81974	-1.81974
1477010446229748	7.74451	-5.58734	-2.69613	2.34124	0.496375	lidar	1.1874	7.64356	-5.66706	7.65	-5.65	1.81972	-1.81972
1477010446284703	7.74451	-5.58734	-2.69613	2.34124	0.496375	radar	0	7.60376	-5.74774	7.7	-5.8	0.90983	-2.72951
1477010446339659	7.87244	-5.85541	-2.66676	2.31296	0.403899	lidar	2.06163	7.7342	-5.95374	7.75	-5.95	0.909826	-2.72948
1477010446389694	7.87244	-5.85541	-2.66676	2.31296	0.403899	radar	0	7.82165	-6.06822	7.85	-6.1	1.9986	-2.9979
1477010446439730	8.01673	-6.11706	-2.70581	2.29079	0.334297	lidar	1.36129	7.95703	-6.24328	7.95	-6.25	1.99858	-2.99787
1477010446494754	8.01673	-6.11706	-2.70581	2.29079	0.334297	radar	0	8.17338	-6.44684	8.05	-6.35	1.81738	-1.81739
1477010446549779	8.19286	-6.37829	-2.73144	2.2898	0.292416	lidar	0.477651	8.15891	-6.45335	8.15	-6.45	1.81737	-1.81737
1477010446604767	8.19286	-6.37829	-2.73144	2.2898	0.292416	radar	0	8.08628	-6.51855	8.2	-6.6	0.909293	-2.72787
1477010446659755	8.33944	-6.65563	-2.7376	2.25837	0.222003	lidar	1.13487	8.25411	-6.74791	8.25	-6.75	0.909293	-2.72787
1477010446714702	8.33944	-6.65563	-2.7376	2.25837	0.222003	radar	0	8.25648	-6.78122	8.35	-6.85	1.81994	-1.81993
1477010446769649	8.49861	-6.91286	-2.73463	2.2468	0.182322	lidar	0.355759	8.44494	-6.95805	8.45	-6.95	1.81993	-1.81993
1477010446819646	8.49861	-6.91286	-2.73463	2.2468	0.182322	radar	0	8.39359	-7.01743	8.5	-7.1	1.00006	-3.00018
1477010446869643	8.6245	-7.16832	-2.74025	2.21243	0.124419	lidar	0.814636	8.54925	-7.24433	8.55	-7.25	1.00006	-3.00018
1477010446919691	8.6245	-7.16832	-2.74025	2.21243	0.124419	radar	0	8.64403	-7.39047	8.65	-7.4	1.99807	-2.99712
1477010446969739	8.76621	-7.44004	-2.78895	2.18199	0.0774453	lidar	0.781664	8.73559	-7.5421	8.75	-7.55	1.99808	-2.99712
1477010447024687	8.76621	-7.44004	-2.78895	2.18199	0.0774453	radar	0	8.87176	-7.71912	8.8	-7.65	0.909955	-1.8199
1477010447079636	8.90571	-7.71436	-2.78388	2.15436	0.0375671	lidar	0.378786	8.84538	-7.75497	8.85	-7.75	0.909946	-1.81988
1477010447129681	8.90571	-7.71436	-2.78388	2.15436	0.0375671	radar	0	8.88333	-7.88636	8.9	-7.9	0.999086	-2.9973
1477010447179726	9.02122	-7.97932	-2.79215	2.11713	-0.00756052	lidar	0.513666	8.95966	-8.0381	8.95	-8.05	0.999095	-2.9973
1477010447234713	9.02122	-7.97932	-2.79215	2.11713	-0.00756052	radar	0	8.8564	-8.01424	9	-8.15	0.909309	-1.8186
1477010447289701	9.13612	-8.24477	-2.75299	2.08544	-0.041864	lidar	0.414186	9.05896	-8.24314	9.05	-8.25	0.909301	-1.81859
1477010447339681	9.13612	-8.24477	-2.75299	2.08544	-0.041864	radar	0	9.17781	-8.47056	9.1	-8.4	1.0004	-3.00119
1477010447389662	9.22708	-8.50811	-2.74736	2.04111	-0.0861365	lidar	0.500973	9.15332	-8.54857	9.15	-8.55	1.00038	-3.00117
1477010447444637	9.22708	-8.50811	-2.74736	2.04111	-0.0861365	radar	0	9.22922	-8.6898	9.2	-8.65	0.909508	-1.819
1477010447499613	9.32001	-8.77693	-2.70825	2.0026	-0.118416	lidar	0.389431	9.24541	-8.76863	9.25	-8.75	0.9095	-1.81899
1477010447549622	9.32001	-8.77693	-2.70825	2.0026	-0.118416	radar	0	9.37748	-9.00609	9.35	-8.95	1.99965	-3.99928
1477010447599631	9.4339	-9.06487	-2.77838	1.97572	-0.134412	lidar	0.523744	9.44703	-9.15328	9.45	-9.15	1.99964	-3.99928
1477010447649652	9.4339	-9.06487	-2.77838	1.97572	-0.134412	radar	0	9.50096	-9.25642	9.5	-9.25	0.999584	-1.99917
1477010447699673	9.54056	-9.33014	-2.7948	1.95801	-0.139011	lidar	0.0312298	9.54157	-9.35195	9.55	-9.35	0.999584	-1.99917
1477010447749669	9.54056	-9.33014	-2.7948	1.95801	-0.139011	radar	0	9.47534	-9.42627	9.55	-9.5	0	-3.00023
1477010447799666	9.60835	-9.61001	-2.8027	1.91063	-0.176077	lidar	0.366099	9.54779	-9.64959	9.55	-9.65	0	-3.0002
1477010447849716	9.60835	-9.61001	-2.8027	1.91063	-0.176077	radar	0	9.69942	-9.88416	9.6	-9.8	0.999005	-2.997
1477010447899766	9.67893	-9.89416	-2.82183	1.8715	-0.19984	lidar	0.184209	9.64606	-9.9341	9.65	-9.95	0.998995	-2.997
1477010447954720	9.67893	-9.89416	-2.82183	1.8715	-0.19984	radar	0	9.60087	-9.96395	9.7	-10.05	0.909855	-1.81969
