time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010443349642	0	0	0	0	0	lidar	0	0	0	0	0	0	0
1477010443349642	0	0	0	0	0	radar	0	0	0	0	0	0	0
1477010444349642	1.55945	-0.138501	0	0	0	lidar	0	1.55945	-0.138501	2.09897	0.0522228	2.19595	0.109339
1477010444349642	1.59584	0.321942	2.21438	0	0	radar	3.03563	1.81209	0.0474826	2.09897	0.0522228	2.19595	0.109339
1477010445349642	3.87707	-0.129566	2.57583	-0.348988	-0.267095	lidar	1.28397	3.89093	-0.134166	4.29136	0.215312	2.28434	0.226323
1477010445349642	3.94844	0.0761958	2.88858	0.180865	-0.0800333	radar	4.26297	4.19528	0.218461	4.29136	0.215312	2.28434	0.226323
1477010446349642	6.85066	0.418001	3.48022	-0.31017	-0.366692	lidar	1.16979	6.86352	0.416817	6.56942	0.496096	2.36382	0.348847
1477010446349642	6.76789	0.437516	3.12567	-0.317196	-0.405035	radar	1.73218	6.43926	0.472879	6.56942	0.496096	2.36382	0.348847
1477010447349642	9.07208	0.588295	2.92152	0.101363	0.149182	lidar	0.463544	9.07733	0.593211	8.92437	0.89924	2.43359	0.474526
1477010447349642	9.03896	0.658414	2.81039	0.129999	0.162407	radar	1.23325	8.89749	0.886982	8.92437	0.89924	2.43359	0.474526
1477010448349642	11.5664	1.66096	3.09052	0.610795	0.357386	lidar	0.381053	11.5756	1.6669	11.3468	1.427	2.49328	0.600781
1477010448349642	11.5403	1.62545	3.01253	0.601589	0.367417	radar	0.531692	11.4447	1.42958	11.3468	1.427	2.49328	0.600781
1477010449349642	13.5984	2.32843	2.31763	0.34675	-0.0164415	lidar	0.734126	13.5921	2.31191	13.827	2.07905	2.5429	0.724947
1477010449349642	13.6208	2.30343	2.59289	0.285393	-0.09172	radar	0.926357	13.6572	1.99915	13.827	2.07905	2.5429	0.724947
1477010450349642	16.6126	2.9006	3.42302	0.00697041	-0.20891	lidar	1.52206	16.6456	2.903	16.3554	2.85243	2.58284	0.844365
1477010450349642	16.5421	2.88391	3.06713	-0.0190201	-0.259708	radar	1.20695	16.282	2.84648	16.3554	2.85243	2.58284	0.844365
1477010451349642	19.0094	3.6959	2.96534	0.399599	0.170564	lidar	0.540186	19.0106	3.70555	18.923	3.74161	2.61382	0.95648
1477010451349642	19.0767	3.71972	2.80713	0.456883	0.233058	radar	1.4153	19.363	3.87122	18.923	3.74161	2.61382	0.95648
1477010452349642	21.3223	4.73232	2.97106	0.42074	0.0588515	lidar	0.156782	21.3312	4.73205	21.5215	4.73855	2.63679	1.05891
1477010452349642	21.3792	4.74217	3.02837	0.40492	0.0474926	radar	0.783015	21.6213	4.74762	21.5215	4.73855	2.63679	1.05891
1477010453349642	24.0631	5.56819	3.3694	0.179052	-0.127545	lidar	0.366268	24.0787	5.56967	24.1437	5.83295	2.65286	1.14953
1477010453349642	24.1648	5.5992	3.32756	0.158767	-0.145415	radar	2.99308	24.5601	5.92334	24.1437	5.83295	2.65286	1.14953
1477010454349642	26.6075	6.95269	3.27108	0.637203	0.252137	lidar	0.443579	26.6052	6.96102	26.7833	7.01246	2.6632	1.22647
1477010454349642	26.5942	6.94642	3.34472	0.618042	0.223719	radar	0.0665248	26.5419	6.90075	26.7833	7.01246	2.6632	1.22647
1477010455349642	29.5668	8.08512	3.60114	0.242253	-0.167631	lidar	0.799585	29.5864	8.08789	29.4352	8.26299	2.66893	1.28822
1477010455349642	29.5468	8.07614	3.31322	0.230292	-0.18511	radar	0.312993	29.4716	8.24519	29.4352	8.26299	2.66893	1.28822
1477010456349642	31.9438	9.86916	3.30731	0.838762	0.324563	lidar	0.723219	31.9416	9.88017	32.0955	9.56901	2.67105	1.33358
1477010456349642	31.8994	9.84622	3.34921	0.810284	0.286482	radar	0.673199	31.7928	9.49891	32.0955	9.56901	2.67105	1.33358
1477010457349642	34.6124	10.7174	2.56907	0.199895	-0.296979	lidar	1.47646	34.6157	10.6988	34.7608	10.9139	2.67035	1.3617
1477010457349642	34.7168	10.7708	3.02257	0.204968	-0.258681	radar	2.81272	35.0599	10.9953	34.7608	10.9139	2.67035	1.3617
1477010458349642	37.1377	12.0775	3.09292	0.624005	0.176619	lidar	0.552291	37.1404	12.0883	37.4287	12.2803	2.66736	1.37209
1477010458349642	37.216	12.1016	3.29818	0.606679	0.141299	radar	1.54331	37.4973	12.2943	37.4287	12.2803	2.66736	1.37209
1477010459349642	40.3015	13.458	3.88933	0.246364	-0.187259	lidar	1.1279	40.3285	13.4666	40.0971	13.6505	2.66232	1.36459
1477010459349642	40.2284	13.4273	3.34685	0.207399	-0.249725	radar	1.63382	39.9009	13.6243	40.0971	13.6505	2.66232	1.36459
1477010460349642	42.7673	14.8203	3.32127	0.59892	0.163972	lidar	0.48524	42.7664	14.8294	42.7638	15.0065	2.65515	1.33938
1477010460349642	42.7429	14.8135	3.36957	0.585317	0.146293	radar	0.187637	42.5714	14.9817	42.7638	15.0065	2.65515	1.33938
1477010461349642	45.3435	16.5466	3.72285	0.561629	0.0343775	lidar	0.295885	45.3572	16.5524	45.4265	16.3307	2.64546	1.29701
1477010461349642	45.3846	16.5606	3.47403	0.586717	0.10273	radar	0.938157	45.649	16.5213	45.4265	16.3307	2.64546	1.29701
1477010462349642	48.1506	17.2897	3.32336	0.135162	-0.252037	lidar	0.378718	48.1541	17.2835	48.0823	17.6063	2.6326	1.23832
1477010462349642	48.1245	17.2785	3.07582	0.105559	-0.302144	radar	0.285303	47.9331	17.5349	48.0823	17.6063	2.6326	1.23832
1477010463349642	50.6184	19.0557	3.01319	0.877705	0.392064	lidar	1.4506	50.6228	19.0721	50.7276	18.8172	2.61569	1.16454
1477010463349642	50.6001	19.036	3.24348	0.779509	0.24982	radar	0.36751	50.5737	18.7834	50.7276	18.8172	2.61569	1.16454
1477010464349642	53.7079	19.9053	3.05719	0.0407384	-0.402433	lidar	1.71802	53.7268	19.8982	53.3577	19.9486	2.59372	1.07716
1477010464349642	53.6744	19.8934	3.0165	0.0488146	-0.396617	radar	0.304215	53.5277	19.862	53.3577	19.9486	2.59372	1.07716
1477010465349642	56.0381	21.0769	2.66792	0.522938	0.166308	lidar	1.15367	56.0322	21.0923	55.9669	20.9874	2.56561	0.978022
1477010465349642	56.0101	21.06	2.79694	0.480344	0.119127	radar	0.408179	55.867	20.985	55.9669	20.9874	2.56561	0.978022
1477010466349642	58.6473	21.7836	3.096	0.102918	-0.203741	lidar	0.535973	58.6632	21.7821	58.5484	21.9225	2.53033	0.869205
1477010466349642	58.6478	21.7849	3.08637	0.10156	-0.206284	radar	0.0128693	58.5799	21.9815	58.5484	21.9225	2.53033	0.869205
1477010467349642	60.8783	22.7795	2.81233	0.467983	0.161278	lidar	0.474294	60.8722	22.7876	61.0941	22.7449	2.48697	0.753031
1477010467349642	60.8519	22.7678	2.83203	0.454894	0.149078	radar	0.223721	60.7648	22.6398	61.0941	22.7449	2.48697	0.753031
1477010468349642	63.3718	23.4103	2.99808	0.130205	-0.155844	lidar	0.343226	63.3821	23.4069	63.5955	23.4479	2.43482	0.631987
1477010468349642	63.4552	23.4377	2.82238	0.0804169	-0.217709	radar	2.08101	63.7478	23.7442	63.5955	23.4479	2.43482	0.631987
1477010469349642	66.3162	23.9872	3.39725	0.3027	0.0676623	lidar	0.926702	66.3403	23.9959	66.0431	24.0276	2.37349	0.508655
1477010469349642	66.2166	23.9594	2.63427	0.311045	0.053611	radar	2.7028	65.8838	23.9541	66.0431	24.0276	2.37349	0.508655
1477010470349642	68.2623	24.3614	2.61187	0.190043	-0.0572384	lidar	0.0369161	68.262	24.3582	68.4273	24.4824	2.30293	0.385623
1477010470349642	68.3493	24.3929	2.69182	0.194393	-0.0534882	radar	1.98933	68.6759	24.6059	68.4273	24.4824	2.30293	0.385623
1477010471349642	70.8158	24.8799	3.00842	0.243947	0.0123702	lidar	0.227211	70.8275	24.8844	70.7384	24.8137	2.22347	0.265395
1477010471349642	70.7796	24.8658	2.52092	0.227386	-0.0242344	radar	0.621731	70.7403	24.6728	70.7384	24.8137	2.22347	0.265395
1477010472349642	72.891	24.7197	2.55541	-0.167931	-0.257568	lidar	0.153221	72.8923	24.7135	72.9675	25.025	2.13584	0.150292
1477010472349642	72.9408	24.7366	2.56498	-0.169791	-0.268028	radar	0.683545	73.0732	25.0343	72.9675	25.025	2.13584	0.150292
1477010473349642	75.0019	25.2455	2.19713	0.323874	0.207758	lidar	0.8106	75.0021	25.2595	75.1062	25.1224	2.04114	0.0423626
1477010473349642	74.9898	25.2418	2.1672	0.320636	0.205839	radar	0.0352622	74.9748	25.1377	75.1062	25.1224	2.04114	0.0423626
1477010474349642	77.1123	24.9455	2.2944	-0.402212	-0.376875	lidar	0.959958	77.1225	24.9297	77.1475	25.1137	1.9408	-0.0566978
1477010474349642	77.1369	24.953	2.29012	-0.414899	-0.394534	radar	0.177286	77.1386	25.2948	77.1475	25.1137	1.9408	-0.0566978
1477010475349642	79.1003	25.0158	1.81696	0.0782204	0.174152	lidar	1.43389	79.1089	25.0369	79.0861	25.0086	1.83649	-0.145607
1477010475349642	79.1156	25.0162	1.88196	0.0910736	0.191306	radar	0.0445176	79.1718	24.9698	79.0861	25.0086	1.83649	-0.145607
1477010476349642	80.8018	24.8743	2.05497	-0.0313148	-0.00492749	lidar	0.138825	80.8074	24.8688	80.9183	24.8178	1.73008	-0.223536
1477010476349642	80.85	24.8814	1.8324	-0.0877303	-0.0988397	radar	1.22053	81.1423	24.8704	80.9183	24.8178	1.73008	-0.223536
1477010477349642	82.6034	24.6367	2.27941	-0.0843332	-0.0326515	lidar	0.29087	82.6216	24.6393	82.6423	24.5525	1.6235	-0.29012
1477010477349642	82.5688	24.6226	1.95318	-0.187624	-0.213029	radar	0.593044	82.5085	24.8114	82.6423	24.5525	1.6235	-0.29012
1477010478349642	84.1652	24.5432	2.01677	0.00239369	0.0329046	lidar	0.225103	84.1733	24.5504	84.2584	24.2245	1.51869	-0.345444
1477010478349642	84.1578	24.5458	1.827	-0.0301211	-0.0371984	radar	0.261963	84.2898	24.3312	84.2584	24.2245	1.51869	-0.345444
1477010479349642	85.6374	23.8178	1.93509	-0.538679	-0.323515	lidar	0.247639	85.6378	23.808	85.7688	23.8451	1.41749	-0.390006
1477010479349642	85.6942	23.8331	2.00572	-0.520959	-0.313937	radar	0.853822	85.9743	23.7547	85.7688	23.8451	1.41749	-0.390006
1477010480349642	86.952	23.507	1.27807	-0.30721	-0.0033808	lidar	0.793631	86.9449	23.527	87.1776	23.4252	1.32159	-0.424654
1477010480349642	87.0706	23.5409	1.39221	-0.244399	0.0357351	radar	3.71928	87.6171	23.5127	87.1776	23.4252	1.32159	-0.424654
1477010481349642	88.7838	22.7935	2.45466	-0.40475	-0.0822709	lidar	1.31572	88.8227	22.7869	88.4904	22.9745	1.23248	-0.450514
1477010481349642	88.702	22.7551	2.2213	-0.642489	-0.395062	radar	1.34552	88.4191	22.9498	88.4904	22.9745	1.23248	-0.450514
1477010482349642	89.5304	22.2729	0.74861	-0.712952	-0.233528	lidar	2.24496	89.4967	22.3082	89.7145	22.5017	1.15138	-0.468904
1477010482349642	89.6214	22.2718	1.03996	-0.556252	0.0221939	radar	1.68273	89.7821	22.4826	89.7145	22.5017	1.15138	-0.468904
1477010483349642	90.4982	21.6677	1.37833	-0.445527	0.0796942	lidar	0.155657	90.5133	21.6677	90.858	22.0141	1.07929	-0.481241
1477010483349642	90.571	21.6849	1.43623	-0.397948	0.0851706	radar	1.73766	90.8419	22.0974	90.858	22.0141	1.07929	-0.481241
1477010484349642	91.7093	21.1155	1.64125	-0.288769	0.101398	lidar	0.0512627	91.7178	21.1152	91.9302	21.5174	1.01698	-0.488964
1477010484349642	91.7427	21.1241	1.47159	-0.427156	-0.14964	radar	2.51499	92.0492	21.5289	91.9302	21.5174	1.01698	-0.488964
1477010485349642	92.8528	20.9415	1.38886	-0.0833566	0.145279	lidar	0.315439	92.8599	20.9537	92.9411	21.016	0.964993	-0.493443
1477010485349642	92.9049	20.9704	1.19442	-0.0631416	0.0866056	radar	2.72902	93.3186	21.0712	92.9411	21.016	0.964993	-0.493443
1477010486349642	93.4922	20.2431	0.720053	-0.801595	-0.404364	lidar	1.1606	93.4668	20.2155	93.9011	20.513	0.92369	-0.495919
1477010486349642	93.5756	20.2864	1.07376	-0.552736	-0.0949718	radar	1.69173	93.7423	20.5071	93.9011	20.513	0.92369	-0.495919
1477010487349642	95.2516	19.6516	2.5381	0.113919	0.371531	lidar	3.56279	95.3229	19.6585	94.8209	20.01	0.893308	-0.497439
1477010487349642	95.0295	19.6594	1.5688	-0.0201894	0.21222	radar	9.23913	94.494	19.8854	94.8209	20.01	0.893308	-0.497439
1477010488349642	95.5289	19.7021	0.90038	0.203802	0.218932	lidar	0.702002	95.5039	19.6984	95.7116	19.5078	0.87398	-0.498816
1477010488349642	95.5376	19.7038	0.871746	0.205076	0.219109	radar	0.033108	95.6097	19.5804	95.7116	19.5078	0.87398	-0.498816
1477010489349642	96.2566	19.2085	0.779348	-0.810201	-0.497485	lidar	1.64177	96.2641	19.1597	96.5842	19.0065	0.865773	-0.500589
1477010489349642	96.3062	19.2417	1.02819	-0.612064	-0.292038	radar	0.814356	96.559	18.8688	96.5842	19.0065	0.865773	-0.500589
1477010490349642	97.4816	18.7186	1.82328	-0.157847	0.145991	lidar	1.56624	97.5286	18.727	97.45	18.506	0.868716	-0.503009
1477010490349642	97.4056	18.7225	1.46001	-0.316492	-0.10532	radar	1.44683	97.5333	18.1735	97.45	18.506	0.868716	-0.503009
1477010491349642	98.2179	18.3699	1.22045	-0.304384	-0.0416997	lidar	0.0682216	98.2105	18.3739	98.3198	18.0049	0.882805	-0.506023
1477010491349642	98.2267	18.3744	1.09874	-0.358549	-0.136954	radar	0.431388	98.4162	18.1556	98.3198	18.0049	0.882805	-0.506023
1477010492349642	99.0316	17.3769	1.51411	-1.09682	-0.481654	lidar	0.531782	99.0363	17.357	99.2049	17.503	0.908006	-0.509278
1477010492349642	99.0433	17.4132	1.49486	-0.748006	-0.0494579	radar	0.738819	98.9782	17.2949	99.2049	17.503	0.908006	-0.509278
1477010493349642	99.9874	16.963	1.04503	-0.405937	0.183302	lidar	0.653543	99.9969	16.9882	100.117	17.0001	0.944242	-0.512134
1477010493349642	100.063	16.9785	1.06927	-0.356593	0.197001	radar	1.81016	100.441	16.9521	100.117	17.0001	0.944242	-0.512134
1477010494349642	101.181	16.5372	1.61407	-0.150893	0.201182	lidar	0.356743	101.204	16.5368	101.065	16.497	0.991362	-0.513687
1477010494349642	101.14	16.5279	1.32448	-0.280456	0.0373186	radar	0.606667	101.169	16.4353	101.065	16.497	0.991362	-0.513687
1477010495349642	102.368	16.3922	1.698	0.117092	0.24414	lidar	0.351903	102.387	16.3992	102.063	15.9949	1.04911	-0.512803
1477010495349642	102.27	16.3853	1.25066	0.10026	0.22333	radar	1.81751	102.081	15.8359	102.063	15.9949	1.04911	-0.512803
1477010496349642	103.017	15.3982	0.827212	-1.14303	-0.631281	lidar	2.49201	103.003	15.353	103.119	15.4967	1.11708	-0.508169
1477010496349642	102.971	15.4616	1.18385	-0.593099	0.0329593	radar	3.25623	102.776	15.1195	103.119	15.4967	1.11708	-0.508169
1477010497349642	104.087	15.2474	1.3604	0.106231	0.433391	lidar	0.899634	104.114	15.2708	104.244	15.0064	1.19469	-0.498349
1477010497349642	104.039	15.2405	1.29793	0.0656544	0.408644	radar	0.582949	103.905	14.7607	104.244	15.0064	1.19469	-0.498349
1477010498349642	105.523	14.4749	1.72561	-0.889559	-0.395523	lidar	1.96694	105.541	14.4412	105.447	14.5293	1.28111	-0.481861
1477010498349642	105.474	14.4862	1.80097	-0.735622	-0.212385	radar	0.818005	105.316	14.0026	105.447	14.5293	1.28111	-0.481861
1477010499349642	106.815	14.0267	1.42344	-0.276615	0.214183	lidar	1.08086	106.831	14.0482	106.737	14.0724	1.37529	-0.457255
1477010499349642	106.769	14.007	1.52197	-0.276123	0.263617	radar	1.29086	106.439	14.2401	106.737	14.0724	1.37529	-0.457255
1477010500349642	108.075	13.6608	1.74054	-0.0343658	0.249919	lidar	0.0610028	108.084	13.6604	108.122	13.644	1.47592	-0.423202
1477010500349642	108.08	13.6617	1.68209	-0.0419278	0.235786	radar	0.0564986	108.131	13.6844	108.122	13.644	1.47592	-0.423202
1477010501349642	109.528	13.5731	1.85398	0.0754181	0.164492	lidar	0.05664	109.534	13.5714	109.606	13.2536	1.58144	-0.378583
1477010501349642	109.485	13.5669	1.64673	0.058213	0.149074	radar	0.415136	109.388	13.1556	109.606	13.2536	1.58144	-0.378583
1477010502349642	111.055	12.607	1.84912	-0.956241	-0.548229	lidar	1.41121	111.063	12.5814	111.196	12.9118	1.69008	-0.322574
1477010502349642	111.139	12.6583	2.24166	-0.626793	-0.1064	radar	2.37027	111.426	12.9557	111.196	12.9118	1.69008	-0.322574
1477010503349642	112.902	12.4651	1.64715	-0.00835106	0.351524	lidar	1.37701	112.913	12.4877	112.893	12.6299	1.7999	-0.254723
1477010503349642	112.906	12.4528	1.79649	-0.00298898	0.364312	radar	0.226648	112.797	12.8241	112.893	12.6299	1.7999	-0.254723
1477010504349642	114.783	12.5493	2.27761	0.228757	0.278475	lidar	0.408098	114.801	12.5506	114.699	12.4195	1.90891	-0.175007
1477010504349642	114.794	12.5527	2.05703	0.225005	0.290977	radar	0.259474	114.916	12.3187	114.699	12.4195	1.90891	-0.175007
