time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010443399637	8.46292	0.243462	-3.04035	0	0	radar	0	8.46292	0.243462	8.6	0.25	-3.00029	0
1477010443449633	8.46292	0.243462	-3.04035	0	0	lidar	0	8.44818	0.251553	8.45	0.25	-3.00027	0
1477010443499690	8.51726	0.241894	-2.87664	-1.63077	-0.00671207	radar	0.189344	8.56759	0.241943	8.45	0.25	0	0
1477010443549747	8.51726	0.241894	-2.87664	-1.63077	-0.00671207	lidar	0	8.45582	0.253997	8.45	0.25	0	0
1477010443604698	8.37547	0.339965	-2.16111	-0.706943	1.29408	radar	1.58831	8.42544	0.254042	8.35	0.25	-1.81979	0
1477010443659650	8.37547	0.339965	-2.16111	-0.706943	1.29408	lidar	0	8.23962	0.24916	8.25	0.25	-1.81978	0
1477010443709653	8.02138	0.391489	-3.46101	0.0596187	4.68935	radar	7.90048	7.93286	0.188391	8.05	0.2	-3.99976	-0.99994
1477010443759657	8.02138	0.391489	-3.46101	0.0596187	4.68935	lidar	0	7.84073	0.159858	7.85	0.15	-3.99972	-0.99993
1477010443809660	7.66647	0.290989	-3.59385	0.438705	4.46104	radar	0.672998	7.61269	0.155818	7.7	0.15	-2.99982	0
1477010443859663	7.66647	0.290989	-3.59385	0.438705	4.46104	lidar	0	7.54016	0.159641	7.55	0.15	-2.99982	0
1477010443914714	7.41918	0.0540304	-3.59683	0.969442	4.69656	radar	0.215881	7.50815	0.0953827	7.45	0.100001	-1.8165	-0.908239
1477010443969766	7.41918	0.0540304	-3.59683	0.969442	4.69656	lidar	0	7.3426	0.0345312	7.35	0.0500011	-1.81648	-0.90823
1477010444024741	7.15758	-0.0924288	-2.97032	0.87232	2.54967	radar	12.787	7.20598	0.00492725	7.2	9.49949e-07	-2.72851	-0.909507
1477010444079717	7.15758	-0.0924288	-2.97032	0.87232	2.54967	lidar	0	7.05406	-0.0533413	7.05	-0.0499992	-2.72849	-0.909499
1477010444134693	6.91733	-0.309702	-2.9387	1.02997	2.15891	radar	3.23807	6.74585	-0.143185	6.95	-0.15	-1.81898	-1.81898
1477010444189670	6.91733	-0.309702	-2.9387	1.02997	2.15891	lidar	0	6.84972	-0.258748	6.85	-0.25	-1.81896	-1.81897
1477010444239651	6.70633	-0.48399	-2.75765	0.989478	1.40089	radar	10.2872	6.66966	-0.346668	6.75	-0.349999	-2.00076	-2.00075
1477010444289632	6.70633	-0.48399	-2.75765	0.989478	1.40089	lidar	0	6.64329	-0.462604	6.65	-0.449999	-2.00076	-2.00075
1477010444339690	6.59149	-0.680631	-2.67682	1.13573	1.42926	radar	0.568894	6.60862	-0.557035	6.6	-0.549999	-0.998836	-1.99769
1477010444389748	6.59149	-0.680631	-2.67682	1.13573	1.42926	lidar	0	6.56029	-0.650892	6.55	-0.65	-0.99884	-1.99769
1477010444444769	6.48845	-0.919281	-2.63811	1.28271	1.43052	radar	0.252927	6.40696	-0.842921	6.5	-0.85	-0.908747	-3.63498
1477010444499791	6.48845	-0.919281	-2.63811	1.28271	1.43052	lidar	0	6.45805	-1.05268	6.45	-1.05	-0.908739	-3.63494
1477010444554767	6.34588	-1.10433	-2.42082	1.22798	1.01969	radar	12.1175	6.38626	-1.15695	6.35	-1.15	-1.81897	-1.81898
1477010444609744	6.34588	-1.10433	-2.42082	1.22798	1.01969	lidar	0	6.25499	-1.25007	6.25	-1.25	-1.81896	-1.81896
1477010444664705	6.3974	-1.45304	-2.56152	1.58727	1.46284	radar	22.9397	6.43125	-1.48148	6.3	-1.45	0.909739	-3.63894
1477010444719667	6.3974	-1.45304	-2.56152	1.58727	1.46284	lidar	0	6.36328	-1.65656	6.35	-1.65	0.909727	-3.63891
1477010444769692	6.33437	-1.65041	-2.309	1.58606	1.2016	radar	11.879	6.3228	-1.81431	6.3	-1.8	-0.999494	-2.9985
1477010444819718	6.33437	-1.65041	-2.309	1.58606	1.2016	lidar	0	6.24641	-1.95075	6.25	-1.95	-0.999489	-2.99847
1477010444869719	6.37503	-1.9807	-2.54363	1.77161	1.3094	radar	5.76434	6.31851	-2.10969	6.3	-2.1	0.999984	-2.99994
1477010444919720	6.37503	-1.9807	-2.54363	1.77161	1.3094	lidar	0	6.34644	-2.23829	6.35	-2.25	0.999979	-2.99994
1477010444974743	6.37813	-2.23883	-2.44066	1.82696	1.18079	radar	4.80138	6.32593	-2.40018	6.35	-2.4	0	-2.72613
1477010445029767	6.37813	-2.23883	-2.44066	1.82696	1.18079	lidar	0	6.34927	-2.55175	6.35	-2.55	0	-2.72611
1477010445084742	6.45243	-2.559	-2.57076	1.94711	1.17347	radar	1.20286	6.43125	-2.71878	6.4	-2.7	0.909499	-2.72851
1477010445139717	6.45243	-2.559	-2.57076	1.94711	1.17347	lidar	0	6.43257	-2.84245	6.45	-2.85	0.909503	-2.72851
1477010445189758	6.50426	-2.82364	-2.48151	2.00329	1.07643	radar	3.67242	6.46536	-3.00452	6.45	-3	0	-2.99754
1477010445239799	6.50426	-2.82364	-2.48151	2.00329	1.07643	lidar	0	6.44119	-3.14955	6.45	-3.15	0	-2.99754
1477010445294720	6.59669	-3.12854	-2.60069	2.07899	1.03888	radar	1.41762	6.52249	-3.32007	6.5	-3.3	0.910402	-2.7312
1477010445349641	6.59669	-3.12854	-2.60069	2.07899	1.03888	lidar	0	6.5453	-3.45745	6.55	-3.45	0.910402	-2.7312
1477010445404670	6.73326	-3.44919	-2.77567	2.16617	1.02175	radar	2.19531	6.6358	-3.59197	6.65	-3.6	1.81722	-2.72583
1477010445459700	6.73326	-3.44919	-2.77567	2.16617	1.02175	lidar	0	6.76011	-3.75457	6.75	-3.75	1.81721	-2.72581
1477010445514767	6.86634	-3.73173	-2.72071	2.22519	0.956043	radar	1.91605	6.83625	-3.92723	6.8	-3.9	0.907988	-2.72396
1477010445569835	6.86634	-3.73173	-2.72071	2.22519	0.956043	lidar	0	6.85997	-4.05805	6.85	-4.05	0.907976	-2.72393
1477010445624820	6.99313	-4.00807	-2.66505	2.26845	0.886125	radar	2.01995	6.86943	-4.18507	6.9	-4.2	0.909334	-2.72801
1477010445679806	6.99313	-4.00807	-2.66505	2.26845	0.886125	lidar	0	6.94332	-4.34473	6.95	-4.35	0.90933	-2.72799
1477010445734748	7.10306	-4.24883	-2.44338	2.29661	0.800375	radar	7.52729	7.05156	-4.49706	7	-4.45	0.910054	-1.8201
1477010445789690	7.10306	-4.24883	-2.44338	2.29661	0.800375	lidar	0	7.04099	-4.55018	7.05	-4.55	0.910054	-1.8201
1477010445844738	7.23176	-4.50321	-2.43341	2.32564	0.740998	radar	1.17064	7.10252	-4.67934	7.1	-4.7	0.908302	-2.72489
1477010445899786	7.23176	-4.50321	-2.43341	2.32564	0.740998	lidar	0	7.14735	-4.86125	7.15	-4.85	0.908297	-2.72489
1477010445954759	7.40514	-4.81327	-2.67138	2.34486	0.689535	radar	4.84849	7.3138	-5.05204	7.25	-5	1.81907	-2.72861
1477010446009732	7.40514	-4.81327	-2.67138	2.34486	0.689535	lidar	0	7.30424	-5.15404	7.35	-5.15	1.81907	-2.72861
1477010446064786	7.5365	-5.08161	-2.62926	2.34856	0.619488	radar	1.76847	7.29446	-5.23429	7.4	-5.3	0.908194	-2.7246
1477010446119841	7.5365	-5.08161	-2.62926	2.34856	0.619488	lidar	0	7.44737	-5.45308	7.45	-5.45	0.90819	-2.72457
1477010446174794	7.69493	-5.36077	-2.64264	2.3522	0.557845	radar	1.18804	7.63082	-5.61863	7.55	-5.55	1.81974	-1.81974
1477010446229748	7.69493	-5.36077	-2.64264	2.3522	0.557845	lidar	0	7.64356	-5.66706	7.65	-5.65	1.81972	-1.81972
1477010446284703	7.82778	-5.61871	-2.59207	2.34807	0.495437	radar	1.38967	7.60376	-5.74774	7.7	-5.8	0.90983	-2.72951
1477010446339659	7.82778	-5.61871	-2.59207	2.34807	0.495437	lidar	0	7.7342	-5.95374	7.75	-5.95	0.909826	-2.72948
1477010446389694	8.02015	-5.92409	-2.90454	2.35108	0.461494	radar	9.30664	7.82165	-6.06822	7.85	-6.1	1.9986	-2.9979
1477010446439730	8.02015	-5.92409	-2.90454	2.35108	0.461494	lidar	0	7.95703	-6.24328	7.95	-6.25	1.99858	-2.99787
1477010446494754	8.18273	-6.19243	-2.83126	2.34306	0.405915	radar	1.74096	8.17338	-6.44684	8.05	-6.35	1.81738	-1.81739
1477010446549779	8.18273	-6.19243	-2.83126	2.34306	0.405915	lidar	0	8.15891	-6.45335	8.15	-6.45	1.81737	-1.81737
1477010446604767	8.32388	-6.45091	-2.74858	2.3311	0.351975	radar	1.45412	8.08628	-6.51855	8.2	-6.6	0.909293	-2.72787
1477010446659755	8.32388	-6.45091	-2.74858	2.3311	0.351975	lidar	0	8.25411	-6.74791	8.25	-6.75	0.909293	-2.72787
1477010446714702	8.47583	-6.7152	-2.74962	2.32102	0.308458	radar	0.69312	8.25648	-6.78122	8.35	-6.85	1.81994	-1.81993
1477010446769649	8.47583	-6.7152	-2.74962	2.32102	0.308458	lidar	0	8.44494	-6.95805	8.45	-6.95	1.81993	-1.81993
1477010446819646	8.60926	-6.96217	-2.70853	2.30564	0.264597	radar	0.784744	8.39359	-7.01743	8.5	-7.1	1.00006	-3.00018
1477010446869643	8.60926	-6.96217	-2.70853	2.30564	0.264597	lidar	0	8.54925	-7.24433	8.55	-7.25	1.00006	-3.00018
1477010446919691	8.79142	-7.24564	-2.93939	2.30256	0.248371	radar	5.4489	8.64403	-7.39047	8.65	-7.4	1.99807	-2.99712
1477010446969739	8.79142	-7.24564	-2.93939	2.30256	0.248371	lidar	0	8.73559	-7.5421	8.75	-7.55	1.99808	-2.99712
1477010447024687	8.90748	-7.50287	-2.71974	2.26527	0.182296	radar	6.13175	8.87176	-7.71912	8.8	-7.65	0.909955	-1.8199
1477010447079636	8.90748	-7.50287	-2.71974	2.26527	0.182296	lidar	0	8.84538	-7.75497	8.85	-7.75	0.909946	-1.81988
1477010447129681	9.04905	-7.77397	-2.76665	2.24519	0.150536	radar	0.597591	8.88333	-7.88636	8.9	-7.9	0.999086	-2.9973
1477010447179726	9.04905	-7.77397	-2.76665	2.24519	0.150536	lidar	0	8.95966	-8.0381	8.95	-8.05	0.999095	-2.9973
